App Name;Website;IP;Registrar Name;Registrant Name;Registrant Organisation;Registrant Country;Creation Date;For Android;Available on Play Store;Tranco Ranking
AirDroid;airdroid.com;75.2.2.223; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2010-01-12T21:18:31Z;Yes;https://play.google.com/store/apps/details?id=com.sand.airdroidkidp;5687
Panda Dome Family;pandasecurity.com;91.216.218.44; Entorno Digital, S.A.; ; Panda Security S.L.U.; ES; 2000-09-07T10:03:06.0Z;Yes;https://play.google.com/store/apps/details?id=com.pandasecurity.pandaav;2461
AnyDesk;anydesk.com;18.66.27.3; Hetzner Online GmbH; REDACTED FOR PRIVACY; REDACTED FOR PRIVACY; DE; 2004-02-07T15:49:37Z;Yes;https://play.google.com/store/apps/details?id=com.anydesk.anydeskandroid;816
Astrosafe;astrosafe.co;76.76.21.21; Key-Systems GmbH; REDACTED FOR PRIVACY; c/o whoisproxy.com; US; 2023-06-16T13:25:28Z;No;No;N/A
AT&T Secure Family;att.com;144.160.36.42; CSC CORPORATE DOMAINS, INC.; Domain Administrator; AT&T SERVICES, INC.; US; 1986-04-25T00:00:00Z;Yes;https://play.google.com/store/apps/details?id=com.wavemarket.waplauncher&hl=en_US&gl=US;351
Bark Premium;bark.us;50.19.105.227; Gandi SAS; Bark Engineering; Bark Technologies, Inc.; US; 2004-06-04T07:40:44Z;Yes;No;10840
Baby Connect app;en.babyconnect.com;198.185.159.145; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2001-07-05T05:42:01Z;Yes;https://play.google.com/store/apps/details?gl=US&hl=en_US&id=com.seacloud.bc;N/A
Chyldmonitor;chyldmonitor.com;18.220.15.205; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2020-12-03T00:33:48Z;Yes;No;728971
Best Free Keylogger;bestxsoftware.com;172.67.134.71; TUCOWS, INC.; Contact Privacy Inc. Customer 0137477792; Contact Privacy Inc. Customer 0137477792; CA; 2014-05-13T13:38:12;No;N/A;N/A
Bitdefender Parental Control;bitdefender.com;104.18.168.222; Register.com, Inc.; Statutory Masking Enabled; Statutory Masking Enabled; CY; 2001-06-08T11:07:18Z;Yes;https://play.google.com/store/apps/details?id=com.bitdefender.parentaladvisor&hl=en_GB;724
Blockada ;blokada.org;188.114.97.10; NAMECHEAP INC; Redacted for Privacy; Privacy service provided by Withheld for Privacy ehf; IS; 2016-07-18T16:55:11.02Z;Yes;https://play.google.com/store/apps/details?id=org.blokada.sex;91429
Boomerang ;useboomerang.com;34.235.251.56; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2015-03-22T03:45:13Z;Yes;https://play.google.com/store/apps/details?id=com.nationaledtech.Boomerang;485632
Bounce;hellobounce.com;52.29.64.121; Amazon Registrar, Inc.; On behalf of hellobounce.com owner; Identity Protection Service; GB; 2020-04-22T10:25:28Z;Yes;https://play.google.com/store/apps/details?id=com.darisni.nursery;N/A
Bouncie;bouncie.com;34.213.106.51; Network Solutions, LLC; Tail Light, LLC; Tail Light, LLC; US; 2012-01-08T19:21:40Z;Yes;https://play.google.com/store/apps/details?id=com.mobeasynewapp.app1110865567198;660280
Canopy;canopy.us;141.193.213.10; GoDaddy.com, LLC; Moshe Doron; ; IL; 2014-09-20T18:01:37Z;Yes;https://play.google.com/store/apps/details?id=com.canopy.vpn.filter.parent&hl=en_US;291283
Checky;checkyapp.com;IP not found; NAMECHEAP INC; Redacted for Privacy; Privacy service provided by Withheld for Privacy ehf; IS; 2013-10-15T15:42:52.00Z;N/A;N/A;N/A
Child Monitor;https://f-droid.org/packages/de.rochefort.childmonitor/;IP not found;N/A;N/A; ; ; ;Yes;No;N/A
childsafetytrackerapp;childsafetytrackerapp.com;104.21.13.115; Cloudflare, Inc.; DATA REDACTED; DATA REDACTED; US; 2017-10-30T15:00:10Z;Yes;https://play.google.com/store/apps/details?id=app.childsafetytracker;N/A
Aura;aura.com;75.2.70.75; GoDaddy Corporate Domains, LLC; Ryan Toohil; Aura; US; 1994-10-23T04:00:00Z;Yes;https://play.google.com/store/apps/details?id=com.aura.suite;61844
Cocospy;cocospy.com;188.114.96.10; NAMECHEAP INC; Redacted for Privacy; Privacy service provided by Withheld for Privacy ehf; IS; 2017-12-11T23:48:15.00Z;Yes;No;461897
EvaSpy;spyrix.com;54.39.133.136; GoDaddy.com, LLC; Registration Private; Domains By Proxy, LLC; US; 2009-05-28T18:06:50Z;Yes;No;775227
CyberSafeFamily;cybersafefamily.com;45.60.98.114; TurnCommerce, Inc. DBA NameBright.com; Redacted for Privacy; NameBrightPrivacy.com; US; 2020-05-09T18:24:05.000Z;Yes;No;N/A
